indx,journal_name,issn,citation_count_sum,paper_count_sum,avg_cites_per_paper,proj_ai,proj_ai_year
117,advances in urology,1687-6377,444,202,2.198019802,0.5,2015
118,aequationes mathematicae,1420-8903,186,170,1.094117647,0.208,2015
119,aerobiologia,1573-3025,391,190,2.057894737,0.46,2015
120,aesthetic plastic surgery,1432-5241,1316,818,1.608801956,0.338,2015
121,africa spectrum,0002-0397,137,89,1.539325843,0.32,2015
122,africa spectrum,1868-6869,137,89,1.539325843,0.32,2015
123,african archaeological review,1572-9842,114,86,1.325581395,0.265,2015
124,african invertebrates,2305-2562,88,116,0.75862069,0.131,2015
125,african journal of agricultural research,1991-637X,1298,1571,0.826225334,0.146,2015
126,african journal of biotechnology,1684-5315,6131,5804,1.056340455,0.199,2015
127,african journal of business management,1993-8233,1184,1281,0.924277908,0.168,2015
128,african journal of microbiology research,1996-0808,1931,2207,0.874943362,0.157,2015
129,african journal of paediatric surgery,0974-5998,259,295,0.877966102,0.158,2015
130,african journal of pharmacy and pharmacology,1996-0816,773,938,0.824093817,0.146,2015
131,african journal of primary health care & family medicine,2071-2936,172,181,0.950276243,0.174,2015
132,age,1574-4647,2046,608,3.365131579,0.855,2015
133,ageing international,1936-606X,204,119,1.714285714,0.366,2015
134,aging cell,1098-2337,3800,585,6.495726496,1.955,2015
135,aging cell,1474-9718,3800,585,6.495726496,1.955,2015
136,aging cell,1474-9726,3800,585,6.495726496,1.955,2015
137,aging clinical and experimental research,1720-8319,812,475,1.709473684,0.365,2015
138,agricultural and food science,1459-6067,375,196,1.913265306,0.42,2015
139,agricultural and food science,1795-1895,375,196,1.913265306,0.42,2015
140,agriculture and human values,1572-8366,873,205,4.258536585,1.15,2015
141,agrociencia,1405-3195,211,358,0.589385475,0.096,2015
142,agrociencia,2301-1548,211,358,0.589385475,0.096,2015
143,agroforestry systems,1572-9680,876,493,1.776876268,0.383,2015
144,agronomy for sustainable development,1773-0155,1884,295,6.386440678,1.914,2015
145,ai & society,1435-5655,188,191,0.984293194,0.182,2015
146,aids and behavior,1573-3254,5424,1285,4.221011673,1.137,2015
147,aids research and therapy,1742-6405,455,193,2.357512953,0.546,2015
148,aids research and treatment,2090-1259,416,178,2.337078652,0.54,2015
149,aip advances,2158-3226,2335,1421,1.643209008,0.347,2015
150,alcohol,0741-8329,1168,388,3.010309278,0.743,2015
151,alcohol research & health,1535-7414,356,76,4.684210526,1.296,2015
152,algebra universalis,1420-8911,145,180,0.805555556,0.142,2015
153,algebras and representation theory,1572-9079,292,282,1.035460993,0.194,2015
154,algorithmica,1432-0541,854,493,1.732251521,0.371,2015
155,algorithms,1999-4893,219,132,1.659090909,0.351,2015
156,algorithms for molecular biology,1748-7188,505,149,3.389261745,0.863,2015
157,allergology international,1323-8930,828,315,2.628571429,0.627,2015
158,allergology international,1440-1592,828,315,2.628571429,0.627,2015
159,alpine botany,1664-221X,97,53,1.830188679,0.397,2015
160,amb express,2191-0855,841,268,3.138059701,0.783,2015
161,american journal of animal and veterinary sciences,1557-4563,116,148,0.783783784,0.137,2015
162,american journal of applied sciences,1554-3641,998,876,1.139269406,0.219,2015
163,american journal of cancer research,2156-6976,967,241,4.012448133,1.067,2015
164,american journal of cardiovascular drugs,1179-187X,487,217,2.244239631,0.514,2015
165,american journal of clinical dermatology,1179-1888,800,253,3.162055336,0.79,2015
166,american journal of criminal justice,1936-1351,295,158,1.867088608,0.407,2015
